device_id,sensor_id,value,timestamp,date_received
UGB-PILOTS_Sensor200,WG,24.24,2018-11-22T14:37:01.196Z,2018-11-22T13:37:13Z
UGB-PILOTS_Sensor200,WG,28.24,2018-11-22T15:06:45.488Z,2018-11-22T14:06:54Z
UGB-PILOTS_Sensor200,WG,18.6,2018-11-22T15:26:35.174Z,2018-11-22T14:26:42Z
UGB-PILOTS_Sensor200,WG,61.54,2018-11-22T15:36:29.637Z,2018-11-22T14:36:44Z
UGB-PILOTS_Sensor200,WG,53.33,2018-11-22T15:46:23.587Z,2018-11-22T14:46:37Z
UGB-PILOTS_Sensor200,WG,44.44,2018-11-22T15:56:17.912Z,2018-11-22T14:56:24Z
UGB-PILOTS_Sensor200,WG,48,2018-11-22T16:16:10.411Z,2018-11-22T15:16:17Z
UGB-PILOTS_Sensor200,WG,63.16,2018-11-22T16:26:08.561Z,2018-11-22T15:26:15Z
UGB-PILOTS_Sensor200,WG,66.67,2018-11-22T16:46:06.547Z,2018-11-22T15:46:13Z
UGB-PILOTS_Sensor200,WG,75,2018-11-22T17:16:07.627Z,2018-11-22T16:16:14Z
UGB-PILOTS_Sensor200,WG,92.31,2018-11-22T17:26:09.202Z,2018-11-22T16:26:16Z
UGB-PILOTS_Sensor200,WG,88.89,2018-11-22T17:36:11.245Z,2018-11-22T16:36:18Z
UGB-PILOTS_Sensor200,WG,68.57,2018-11-22T18:06:19.885Z,2018-11-22T17:06:26Z
UGB-PILOTS_Sensor200,WG,51.06,2018-11-22T18:16:23.451Z,2018-11-22T17:16:30Z
UGB-PILOTS_Sensor200,WG,72.73,2018-11-22T18:26:27.538Z,2018-11-22T17:26:34Z
UGB-PILOTS_Sensor200,WG,27.59,2018-11-22T18:46:36.357Z,2018-11-22T17:46:48Z
UGB-PILOTS_Sensor200,WG,28.57,2018-11-22T18:56:41.729Z,2018-11-22T17:56:48Z
UGB-PILOTS_Sensor200,WG,55.81,2018-11-22T19:06:47.86Z,2018-11-22T18:06:59Z
UGB-PILOTS_Sensor200,WG,40,2018-11-22T19:16:54.555Z,2018-11-22T18:17:01Z
UGB-PILOTS_Sensor200,WG,61.54,2018-11-22T19:27:01.675Z,2018-11-22T18:27:09Z
UGB-PILOTS_Sensor200,WG,58.54,2018-11-22T19:37:09.18Z,2018-11-22T18:37:16Z
UGB-PILOTS_Sensor200,WG,57.14,2018-11-22T19:47:16.998Z,2018-11-22T18:47:23Z
UGB-PILOTS_Sensor200,WG,82.76,2018-11-22T19:57:25.041Z,2018-11-22T18:57:32Z
UGB-PILOTS_Sensor200,WG,55.81,2018-11-22T20:07:33.267Z,2018-11-22T19:07:40Z
UGB-PILOTS_Sensor200,WG,44.44,2018-11-22T20:17:41.477Z,2018-11-22T19:17:48Z
UGB-PILOTS_Sensor200,WG,57.14,2018-11-22T20:27:50.001Z,2018-11-22T19:27:56Z
UGB-PILOTS_Sensor200,WG,57.14,2018-11-22T20:48:07.279Z,2018-11-22T19:48:14Z
UGB-PILOTS_Sensor200,WG,53.33,2018-11-22T20:58:15.694Z,2018-11-22T19:58:22Z
UGB-PILOTS_Sensor200,WG,60,2018-11-23T09:38:09.904Z,2018-11-23T08:38:17Z
UGB-PILOTS_Sensor200,WG,64.86,2018-11-23T10:08:32.71Z,2018-11-23T09:08:40Z
